Int Array                               Sum Number      Expected Result
[1,2,3,4,5,27,31,55]                       88                   true
[57,5,1,2,8,13]                            63                   true
[1,3]                                      4                    true
[1,3,5]                                    10                   false
[1,2,7,5,21]                               24                   true
[19,5,1,2,8]                               14                   true
[5,1,2,8,20]                               29                   true
[5,1,2,8]                                  19                   false
[5,2,8,23]                                 29                   false
[5,1,2,8,23]                               29                   true
[11,22,11,14,4,14,1]                        4                   false
[15,5,7,4,2]                               39                   false
[6,8]                                      40                   false
[11,2]                                     24                   false
[5,10,8,11,2]                              22                   false
[8,12,12,9,13,5,20,0,14]                   12                   true
[20,1]                                     12                   false
[11,13,6,13,13]                             3                   false
[18,14,22,17,10,20,19]                     14                   false
[1,19,1,9,17,5,7,22,0]                     32                   true
[4,0,22]                                   44                   false
[17,4,3,1,22,0]                            14                   false
[12,8,17]                                  32                   false
[18,5,19]                                  45                   false
[10,17,8]                                  43                   false
[1,16,13,7,14,7]                           14                   true
[8,4,11,9,9,1,1]                           25                   true
[19,1,18]                                  46                   false
[20,2,6,0,14]                              44                   false
[5,8,18]                                    2                   false
[18,7,12,4,10,20,21,13,0,5,20]             58                   true
[6,18,17,4,14,6]                           20                   true
[3,7,20,8,8]                               27                   true
